time(s),throughput(Mbit/s)
3.0,1.660928
3.5,28.44
4.0,38.616
4.5,44.832
5.0,40.2
5.5,42.192
6.0,45.912
6.5,41.424
7.0,44.88
7.5,46.848
8.0,45.648
8.5,46.824
9.0,47.52
9.5,47.28
10.0,49.416
10.5,49.824
11.0,48.888
11.5,50.784
12.0,51.456
12.5,51.288
13.0,52.872
13.5,52.152
14.0,52.608
14.5,55.416
15.0,53.472
15.5,54.552
16.0,56.376
16.5,55.464
17.0,56.544
17.5,57.408
18.0,57.168
18.5,58.848
19.0,58.872
19.5,59.04
20.0,60.096
20.5,60.336
21.0,60.744
21.5,61.32
22.0,62.184
22.5,62.568
23.0,63.144
23.5,63.672
24.0,63.672
24.5,64.632
25.0,64.464
25.5,64.584
26.0,65.952
26.5,65.856
27.0,66.024
27.5,67.416
28.0,65.928
28.5,67.8
29.0,68.664
29.5,68.28
30.0,68.976
30.5,69.792
31.0,70.344
31.5,68.904
32.0,70.56
32.5,70.992
33.0,28.128
